confirmationnumber,client,program,exam,startdate,enddate,startschedulingdate,endschedulingdate
0000000097770121,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097770410,CPA,CPA,BEC,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097770564,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097772388,NASD,1,S7TO,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097773226,ABP,ABP,INEON,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097773398,NASD,80,03,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097774595,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097774653,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097774825,ADA1,ADA1,DAT,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097775262,CPA,CPA,BEC,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097776017,NASD,1,SIE,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097776367,NASD,80,03,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097776372,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097777169,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097777170,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097777660,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097778323,NBCE,NBCE,PHT,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097778330,NBCE,NBCE,FLR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097778771,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097778982,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097779657,IRS,IRS,SEE2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097780003,ABP,ABP,ICARD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097780249,ABP,ABP,IEMER,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097780339,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097780340,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096977796,SHRM,SHRM,CP,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096969360,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096949041,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
